,TNSName,DetDate,DetMag,RA,Dec,Separation[arcmin],reporter
0, 1926A,1926-05-09 00:00:00.000,14,12:21:54.100,+04:29:37.00,1.2143206363026464,
1,SN 1961I,1961-06-03 00:00:00.000,13,12:22:00.439,+04:28:13.30,1.3974331498309078,
2,SN 1964F,,14,12:21:53.000,+04:28:27.00,0.4716261080768535,
3,SN 1999gn,1999-12-17 00:00:00.000,16,12:21:57.019,+04:27:45.61,0.8457442584649962,
4,SN 2006ov,2006-11-24 00:00:00.000,14.9,12:21:55.301,+04:29:16.69,0.8659727804551052,
5,SN 2008in,2008-12-26 00:00:00.000,14.9,12:22:01.771,+04:28:47.50,1.7556533041940063,
6,SN 2014dt,2014-10-29 00:00:00.000,13.6,12:21:57.569,+04:28:18.52,0.6771482696921657,
7,AT 2020hxk,2020-04-21 07:27:50.400,21.29,12:21:49.131,+04:20:54.92,7.638991757992334,Pan-STARRS
8,SN 2020jfo,2020-05-06 04:51:41.184,16.01,12:21:50.480,+04:28:54.05,1.1999201951063152,ZTF
9,AT 2020qrh,2020-07-30 03:41:45.600,17.33,12:22:22.550,+04:13:15.78,16.65032703730453,GaiaAlerts
10,AT 2021ilb,2021-04-05 19:34:00.000,16,12:21:53.124,+04:28:08.70,0.5176968978869554,None
11,AT 2022kgo,2022-05-20 04:35:02.400,19.71,12:22:23.949,+04:07:03.36,22.557411941717366,ZTF
